tauTau TT
LLR  /eos/home-v/vdamante/HH_bbtautau_resonant_Run2/sync/TTTo2L2Nu_tauTau_LLR.root  HTauTauTree
Ciemat  /eos/user/e/emartinv/cmt/Sync/TTTo2L2Nu_CIEMAT_tautau.root  Events
# LLR events = 48662, # LLR unique events = 48662
# Ciemat events = 53378, # Ciemat unique events = 53378
# common events = 48307
LLR events
run:lumi:evt:sampleId = 1:5848:5847306
run:lumi:evt:sampleId = 1:5850:5849946
run:lumi:evt:sampleId = 1:5899:5898425
run:lumi:evt:sampleId = 1:6174:6173963
run:lumi:evt:sampleId = 1:6206:6205977
run:lumi:evt:sampleId = 1:6335:6334270
run:lumi:evt:sampleId = 1:6430:6429122
run:lumi:evt:sampleId = 1:6431:6430262
run:lumi:evt:sampleId = 1:6431:6430354
run:lumi:evt:sampleId = 1:6431:6430591
run:lumi:evt:sampleId = 1:6456:6455869
run:lumi:evt:sampleId = 1:6489:6488647
run:lumi:evt:sampleId = 1:6559:6558581
run:lumi:evt:sampleId = 1:6605:6604546
run:lumi:evt:sampleId = 1:6646:6645965
run:lumi:evt:sampleId = 1:6647:6646130
run:lumi:evt:sampleId = 1:6647:6646601
run:lumi:evt:sampleId = 1:6647:6646724
run:lumi:evt:sampleId = 1:6648:6647761
run:lumi:evt:sampleId = 1:6652:6651293
run:lumi:evt:sampleId = 1:6700:6699359
run:lumi:evt:sampleId = 1:6700:6699645
run:lumi:evt:sampleId = 1:6754:6753162
run:lumi:evt:sampleId = 1:6766:6765549
run:lumi:evt:sampleId = 1:6793:6792687
run:lumi:evt:sampleId = 1:6821:6820399
run:lumi:evt:sampleId = 1:6849:6848090
run:lumi:evt:sampleId = 1:6849:6848405
run:lumi:evt:sampleId = 1:6854:6853924
run:lumi:evt:sampleId = 1:6865:6864290
run:lumi:evt:sampleId = 1:6865:6864740
run:lumi:evt:sampleId = 1:7268:7267753
run:lumi:evt:sampleId = 1:7482:7481369
run:lumi:evt:sampleId = 1:7540:7539748
run:lumi:evt:sampleId = 1:7577:7576664
run:lumi:evt:sampleId = 1:7618:7617546
run:lumi:evt:sampleId = 1:7654:7653908
run:lumi:evt:sampleId = 1:7709:7708155
run:lumi:evt:sampleId = 1:7795:7794234
run:lumi:evt:sampleId = 1:7841:7840570
run:lumi:evt:sampleId = 1:7842:7841241
run:lumi:evt:sampleId = 1:7904:7903402
run:lumi:evt:sampleId = 1:7921:7920495
run:lumi:evt:sampleId = 1:8152:8151603
run:lumi:evt:sampleId = 1:8191:8190099
run:lumi:evt:sampleId = 1:8193:8192023
run:lumi:evt:sampleId = 1:8203:8202967
run:lumi:evt:sampleId = 1:8203:8202995
run:lumi:evt:sampleId = 1:8205:8204850
run:lumi:evt:sampleId = 1:8408:8407830
run:lumi:evt:sampleId = 1:8451:8450418
run:lumi:evt:sampleId = 1:8491:8490156
run:lumi:evt:sampleId = 1:8526:8525894
run:lumi:evt:sampleId = 1:8998:8997586
run:lumi:evt:sampleId = 1:9006:9005912
run:lumi:evt:sampleId = 1:9078:9077307
run:lumi:evt:sampleId = 1:9078:9077614
run:lumi:evt:sampleId = 1:9110:9109061
run:lumi:evt:sampleId = 1:9187:9186149
run:lumi:evt:sampleId = 1:9203:9202764
run:lumi:evt:sampleId = 1:9281:9280569
run:lumi:evt:sampleId = 1:9285:9284177
run:lumi:evt:sampleId = 1:9330:9329248
run:lumi:evt:sampleId = 1:9343:9342973
run:lumi:evt:sampleId = 1:9345:9344418
run:lumi:evt:sampleId = 1:9345:9344609
run:lumi:evt:sampleId = 1:9346:9345132
run:lumi:evt:sampleId = 1:9347:9346497
run:lumi:evt:sampleId = 1:9348:9347950
run:lumi:evt:sampleId = 1:9349:9348039
run:lumi:evt:sampleId = 1:9359:9358353
run:lumi:evt:sampleId = 1:9360:9359357
run:lumi:evt:sampleId = 1:9360:9359556
run:lumi:evt:sampleId = 1:9395:9394531
run:lumi:evt:sampleId = 1:9395:9394725
run:lumi:evt:sampleId = 1:9440:9439528
run:lumi:evt:sampleId = 1:9441:9440772
run:lumi:evt:sampleId = 1:9477:9476983
run:lumi:evt:sampleId = 1:9514:9513306
run:lumi:evt:sampleId = 1:9579:9578607
run:lumi:evt:sampleId = 1:9587:9586448
run:lumi:evt:sampleId = 1:9589:9588043
run:lumi:evt:sampleId = 1:9589:9588375
run:lumi:evt:sampleId = 1:9590:9589134
run:lumi:evt:sampleId = 1:9591:9590732
run:lumi:evt:sampleId = 1:9592:9591758
run:lumi:evt:sampleId = 1:9599:9598302
run:lumi:evt:sampleId = 1:9599:9598369
run:lumi:evt:sampleId = 1:9629:9628083
run:lumi:evt:sampleId = 1:9664:9663928
run:lumi:evt:sampleId = 1:9688:9687119
run:lumi:evt:sampleId = 1:9688:9687923
run:lumi:evt:sampleId = 1:9694:9693030
